prediction_set,prediction_type,prompt_id,source_file,video_name,annotation_number,annotation_description,annotation_start_time,annotation_end_time,importance_label,best_prediction_number,best_prediction_description,best_prediction_start_time,best_prediction_end_time,similarity_score,is_present,annotation_duration_seconds,failure_category
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_21,9,David Belle's mother is briefly interviewed,07:23,07:28,0,7,One woman walks along a sidewalk lined with trees before entering her home.,,,0.0716046541929245,False,5,"Interview, dialogue, or media-context event"
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_21,1,Video title and introduction to the reportage about David Belle,00:00,00:08,0,13,Another individual stands inside looking at what was just held by that first person.,,,0.1411376595497131,False,8,Title/logo/credits or introductory material
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_21,10,David Belle shows images of an athlete he admires,07:47,07:55,1,13,Another individual stands inside looking at what was just held by that first person.,,,0.1652390658855438,False,8,Narrative or inferred context
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_21,2,David Belle performs parkour sequences in an introductory montage,00:08,02:48,2,2,The same person runs up to another building's entrance.,,,0.2102556973695755,False,160,Long montage or compound event
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_21,7,"A clip from the movie ""Mana o te Toa"" shows a person performing tricks",06:23,06:47,0,13,Another individual stands inside looking at what was just held by that first person.,,,0.2156843394041061,False,24,Physical action missed or described differently
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_21,13,A group greets David Belle and shakes his hand,10:38,10:47,-1,20,Another group stands outside at night talking to someone inside their vehicle.,,,0.2322819679975509,False,9,Social interaction or group context
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_21,8,David Belle visits a house,06:57,07:23,1,8,A group gathers around inside someone’s house for what appears to be dinner time.,,,0.2455848008394241,False,26,Narrative or inferred context
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_21,11,"A person attempts a trick, fails initially, then succeeds on retry",09:03,09:17,-1,13,Another individual stands inside looking at what was just held by that first person.,,,0.3162670135498047,False,14,Physical action missed or described differently
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_21,12,David Belle performs parkour down a building,10:17,10:38,2,2,The same person runs up to another building's entrance.,,,0.3429795205593109,False,21,Physical action missed or described differently
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_21,6,The group is interviewed on a TV channel,05:24,05:43,1,20,Another group stands outside at night talking to someone inside their vehicle.,,,0.3590317070484161,False,19,"Interview, dialogue, or media-context event"
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_21,3,David Belle climbs and performs parkour on a structure,02:49,03:20,1,2,The same person runs up to another building's entrance.,,,0.3751551806926727,False,31,Physical action missed or described differently
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_21,4,A parkour group is introduced and presented,03:40,04:00,1,22,People gather for what appears to be a social gathering under artificial lighting.,,,0.3917981088161468,False,20,Physical action missed or described differently
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_22,2,"A logo appears introducing ""Charlotte Parkour""",00:18,00:20,2,4,Another individual runs towards him as he stands there looking at his feet.,,,0.1054239720106124,False,2,Title/logo/credits or introductory material
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_22,3,"A member of Charlotte Parkour is interviewed, with interleaved parkour demonstrations",00:21,02:30,2,6,People gather outside a building where two individuals walk by before stopping their conversation momentarily.,,,0.2475124299526214,False,129,"Interview, dialogue, or media-context event"
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_22,5,A participant attempts a rolling movement during training,02:31,02:39,1,4,Another individual runs towards him as he stands there looking at his feet.,,,0.336398035287857,False,8,Physical action missed or described differently
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_22,1,A group of people warm up and exercise together,00:00,00:17,0,1,A group of people are gathered around a brick wall with some standing closer to it than others.,,,0.3560129702091217,False,17,Physical action missed or described differently
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_22,4,A group continues training together in an outdoor field,01:31,02:10,0,6,People gather outside a building where two individuals walk by before stopping their conversation momentarily.,,,0.3841380774974823,False,39,Physical action missed or described differently
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_23,8,He realizes it is Sunday and there is no urgency,02:34,02:46,2,3,An escalator moves upwards as someone stands near it waiting to use it.,,,0.0776844173669815,False,12,Narrative or inferred context
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_23,9,Ending credits appear,02:46,03:07,-2,2,Another individual walks up an elevator shaft towards another set of doors at ground level.,,,0.0786255374550819,False,21,Title/logo/credits or introductory material
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_23,7,He arrives at an empty location,02:25,02:34,1,5,Someone sits inside what appears to be a bus stop area next to parked cars under trees.,,,0.2054392546415329,False,9,Scene transition or object interaction
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_23,6,He slows down and adjusts his appearance calmly,02:13,02:24,-1,3,An escalator moves upwards as someone stands near it waiting to use it.,,,0.207581341266632,False,11,Other / requires manual inspection
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_23,5,He runs and performs parkour over obstacles to continue his journey,00:59,02:12,2,5,Someone sits inside what appears to be a bus stop area next to parked cars under trees.,,,0.2304699122905731,False,73,Long montage or compound event
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_23,1,A man wakes up and checks the time,00:00,00:10,2,3,An escalator moves upwards as someone stands near it waiting to use it.,,,0.2843374907970428,False,10,Other / requires manual inspection
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_23,4,He attempts to catch public transport (bus and train) but fails,00:41,00:59,1,5,Someone sits inside what appears to be a bus stop area next to parked cars under trees.,,,0.3229990005493164,False,18,Other / requires manual inspection
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_23,2,He quickly gets dressed and prepares to leave,00:10,00:28,1,3,An escalator moves upwards as someone stands near it waiting to use it.,,,0.3244833946228027,False,18,Other / requires manual inspection
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_24,2,People are shown inside a car,00:28,00:32,-1,5,They continue walking past more people enjoying their day outdoors near buildings.,,,0.1914739608764648,False,4,Scene transition or object interaction
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_24,7,Additional parkour sequences are performed across multiple scenes,01:54,02:19,1,5,They continue walking past more people enjoying their day outdoors near buildings.,,,0.2520774602890014,False,25,Long montage or compound event
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_24,6,A shopping cart is pushed into a lake and others attempt to retrieve it,01:38,01:46,-1,4,Another individual joins them as they walk together along the bridge's edge.,,,0.2833273410797119,False,8,Scene transition or object interaction
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_24,3,"A boy performs a sequence of parkour moves, including jumps, slides, and a flip",00:41,00:56,2,3,He then jumps off to land safely beside it.,,,0.2950630784034729,False,15,Long montage or compound event
event_only_prompt1,event_only,prompt1,event_only_predictions_prompt1.txt,video_24,4,A group dances briefly,01:07,01:09,-1,5,They continue walking past more people enjoying their day outdoors near buildings.,,,0.2952939867973327,False,2,Other / requires manual inspection
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_21,9,David Belle's mother is briefly interviewed,07:23,07:28,0,21,"Finally, two women stand close by discussing something important.",,,0.1426792442798614,False,5,"Interview, dialogue, or media-context event"
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_21,10,David Belle shows images of an athlete he admires,07:47,07:55,1,13,Inside this new space there appears to be some sort of performance happening - possibly dance or music given how expressive the dancers' movements seem to be.,,,0.2044698745012283,False,8,Narrative or inferred context
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_21,8,David Belle visits a house,06:57,07:23,1,8,An aerial view shows rows upon rows of identical houses stretching out towards fields beyond them.,,,0.2275738418102264,False,26,Narrative or inferred context
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_21,1,Video title and introduction to the reportage about David Belle,00:00,00:08,0,13,Inside this new space there appears to be some sort of performance happening - possibly dance or music given how expressive the dancers' movements seem to be.,,,0.2418565899133682,False,8,Title/logo/credits or introductory material
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_21,11,"A person attempts a trick, fails initially, then succeeds on retry",09:03,09:17,-1,16,He stops walking as he looks around for someone else who might have taken it.,,,0.2993015348911285,False,14,Physical action missed or described differently
